Order_Date,Region,Product_ID,Category,Sub_Category,Sales,Profit,Inventory_Days
2022-07-12,South,P00650,Toys,Puzzles,840.1,34.34,168
2020-02-21,West,P00981,Groceries,Fruits,82.04,29.33,122
2022-09-09,East,P00013,Furniture,Beds,155.14,17.17,339
2022-11-12,West,P00925,Clothing,Shoes,585.49,228.64,342
2022-01-01,West,P00714,Groceries,Fruits,814.67,372.95,217
2022-03-03,East,P00796,Furniture,Beds,595.97,-11.82,252
2020-08-09,North,P00882,Clothing,Shoes,92.67,29.81,182
2020-01-12,South,P00364,Electronics,Laptops,708.03,-71.53,19
2021-08-02,West,P00471,Electronics,Phones,120.09,11.3,141
2022-02-16,West,P00486,Clothing,Shirts,411.15,64.62,148
2022-07-16,South,P00971,Toys,Board Games,127.63,-26.29,361
2020-07-02,South,P00430,Electronics,Accessories,746.77,182.83,348
2022-06-28,North,P00088,Electronics,Phones,962.55,-0.1,312
2020-04-03,West,P00708,Groceries,Fruits,533.09,26.16,58
2021-03-01,North,P00062,Electronics,Laptops,22.03,10.48,317
2020-04-12,South,P00525,Toys,Board Games,329.46,-87.4,213
2021-03-16,North,P00236,Electronics,Accessories,993.04,-239.29,227
2021-03-10,North,P00914,Groceries,Vegetables,698.46,-167.39,47
2021-06-24,South,P00047,Toys,Board Games,633.1,162.45,1
2020-12-11,North,P00344,Furniture,Chairs,631.28,105.71,144
2020-06-06,North,P00912,Electronics,Laptops,739.73,319.71,330
2023-02-04,East,P00799,Clothing,Shoes,950.91,391.98,156
2023-06-22,West,P00966,Clothing,Pants,342.3,-56.22,164
2024-01-26,East,P00398,Furniture,Beds,469.06,-8.12,0
2023-08-09,East,P00604,Furniture,Beds,273.28,-3.2,0
2021-12-01,East,P00762,Groceries,Fruits,986.35,255,145
2022-11-16,North,P00158,Groceries,Fruits,286.97,8.31,220
2020-04-21,South,P00713,Toys,Puzzles,278.25,-53.83,35
2022-10-31,East,P00547,Groceries,Beverages,824.31,379.05,256
2021-03-19,North,P00994,Groceries,Vegetables,585.35,254.83,10
2023-06-18,North,P00387,Electronics,Accessories,933.4,366.69,5
2021-05-25,West,P00850,Toys,Action Figures,36.1,0.04,65
2020-05-16,West,P00797,Toys,Action Figures,485.57,237.07,267
2021-07-10,South,P00815,Electronics,Accessories,598.19,2.82,342
2020-09-23,South,P00994,Electronics,Laptops,830.87,129.01,98
2020-06-27,East,P00144,Furniture,Tables,46.45,-8.96,311
2023-08-31,North,P00975,Electronics,Phones,866.08,303.41,351
2021-07-12,North,P00034,Electronics,Phones,752.41,323.94,23
2023-09-28,South,P00835,Groceries,Beverages,771.3,351.57,83
2024-01-31,North,P00123,Electronics,Laptops,254.87,15.4,1
2024-01-21,South,P00862,Furniture,Beds,954.51,176.53,288
2023-09-03,North,P00619,Furniture,Tables,56.43,-4.8,39
2021-03-05,North,P00309,Groceries,Vegetables,674.86,78.45,118
2021-08-02,West,P00377,Electronics,Accessories,833.06,-44.8,54
2022-03-26,0,P00461,Toys,Action Figures,0,-222,251
2022-03-14,North,P00766,Clothing,Pants,409.45,-78.94,303
2020-08-16,South,P00480,Clothing,Pants,426.33,139.72,66
2020-04-03,South,P00374,Electronics,Laptops,806.99,340.97,192
2022-02-27,South,P00354,Toys,Board Games,24.4,-0.48,98
2023-10-25,North,P00658,Groceries,Fruits,640.28,92.11,308
2023-08-31,North,P00758,Clothing,Shirts,551.97,33.52,335
2022-01-24,West,P00796,Toys,Puzzles,402.58,79.58,51
2021-05-01,East,P00465,Furniture,Tables,700.67,236.25,138
2021-10-27,West,P00917,Electronics,Accessories,927.32,86.88,340
2020-07-02,West,P00130,Furniture,Chairs,464.54,224.85,53
2021-12-23,South,P00996,Furniture,Beds,353.94,-46.97,43
2020-11-01,South,P00574,Groceries,Fruits,247.74,-59.29,249
2021-04-07,North,P00977,Toys,Board Games,465.52,78.12,8
2021-02-01,East,P00263,Furniture,Beds,188.27,48.42,281
2023-05-05,North,P00147,Clothing,Shirts,897.82,71.08,93
2022-09-06,East,P00871,Toys,Board Games,973.38,176.72,51
2023-08-12,North,P00618,Furniture,Tables,50.46,-8.32,92
2023-11-02,East,P00855,Toys,Action Figures,354.14,-97.23,326
2021-04-12,South,P00584,Clothing,Shirts,129.43,8.88,346
2022-06-28,North,P00296,Groceries,Beverages,895.28,-176.37,218
2020-01-25,South,P00010,Toys,Action Figures,693.49,-186.24,249
2020-07-28,North,P00946,Furniture,Chairs,486.33,121.69,56
2022-07-18,South,P00493,Electronics,Accessories,874.84,382.04,61
2023-01-12,West,P00508,Toys,Action Figures,12.57,4.96,8
2023-09-06,South,P00791,Toys,Action Figures,750.78,-114.41,207
2023-01-31,North,P00793,Groceries,Vegetables,541.22,237.72,14
2020-08-27,West,P00787,Electronics,Accessories,622.07,-3.03,216
2021-05-02,North,P00348,Groceries,Beverages,723.31,-180.92,187
2023-11-07,East,P00463,Furniture,Beds,259.91,70.35,111
2022-10-29,North,P00087,Electronics,Phones,846,253.54,274
2023-09-03,North,P00319,Clothing,Shirts,452.94,57.11,15
2021-12-14,East,P00324,Clothing,Shirts,113.82,33,28
2020-04-11,East,P00927,Groceries,Fruits,29.87,-1.26,231
2021-04-18,East,P00073,Groceries,Vegetables,98.31,12.61,25
2022-02-26,North,P00634,Furniture,Beds,891.62,155.92,68
2020-06-29,East,P00422,Clothing,Shirts,361.55,79.2,146
2022-07-24,West,P00161,Furniture,Beds,96.05,12.46,34
2021-05-16,West,P00891,Furniture,Beds,562.16,95.13,236
2020-02-22,East,P00735,Clothing,Pants,0,-9.95,6
2024-01-04,East,P00250,Electronics,Accessories,900.65,167.56,315
2020-10-27,West,P00847,Electronics,Laptops,986.65,182.16,289
2023-08-27,East,P00411,Clothing,Shirts,17.46,-2.09,70
2020-05-31,South,P00456,Furniture,Beds,253.5,-43.46,331
2021-11-27,West,P00377,Clothing,Shoes,97.01,33.44,152
2022-02-08,West,P00220,Furniture,Chairs,897.8,-211.71,243
2021-05-16,East,P00281,Groceries,Vegetables,0,7.23,223
2023-09-10,South,P00007,Toys,Puzzles,897.64,144.34,75
2022-10-05,West,P00365,Clothing,Shirts,866.85,306.57,94
2021-08-21,North,P00492,Furniture,Chairs,179.18,42.09,194
2023-11-03,West,P00171,Clothing,Pants,561.2,0,173
2020-05-08,North,P00838,Furniture,Beds,771.8,-116.05,118
2021-05-17,South,P00605,Groceries,Vegetables,713.84,-100.22,20
2023-09-25,West,P00742,Furniture,Tables,249.99,-52.03,90
2024-01-11,West,P00374,Toys,Board Games,770.1,-177.25,139
2020-02-28,0,P00825,Groceries,Fruits,932.69,-40.56,259
2023-04-30,East,P00542,Clothing,Shirts,61.31,-1.88,10
2023-06-18,West,P00861,Electronics,Phones,553.12,76.96,13
2023-03-13,East,P00779,Groceries,Beverages,687.73,-157.98,319
2021-03-07,North,P00845,Toys,Puzzles,684.69,211.01,38
2023-02-23,East,P00684,Toys,Action Figures,417.72,-8.73,305
2020-08-31,North,P00739,Clothing,Shirts,852.22,252.92,334
2022-09-01,East,P00543,Electronics,Phones,933.61,460.03,76
2020-05-09,East,P00829,Clothing,Pants,385.44,170.04,320
2023-01-25,West,P00951,Groceries,Beverages,578.73,216.13,328
2021-02-07,West,P00816,Electronics,Accessories,829.66,249.23,316
2021-08-26,East,P00846,Groceries,Fruits,172.02,-29,5
2021-12-27,North,P00310,Clothing,Pants,243.33,50.37,62
2024-01-07,West,P00767,Toys,Board Games,365.24,146.74,89
2022-07-31,East,P00866,Furniture,Beds,686.15,42.24,104
2023-04-03,West,P00975,Furniture,Chairs,383.17,26.88,353
2020-02-13,South,P00757,Groceries,Fruits,750.13,76.65,153
2021-07-25,North,P00513,Clothing,Shirts,361.81,0,309
2021-10-28,East,P00684,Clothing,Shirts,907.41,180.93,198
2024-01-23,North,P00138,Clothing,Pants,940.43,190.12,42
2023-09-11,East,P00134,Electronics,Laptops,147.88,49.57,157
2023-10-06,South,P00464,Clothing,Shoes,500.47,146.72,157
2023-02-11,East,P00245,Electronics,Laptops,160.16,-8.11,289
2020-06-17,North,P00525,Toys,Action Figures,43.2,6.74,10
2021-01-19,East,P00385,Electronics,Accessories,499.04,151.56,118
2021-02-15,South,P00678,Toys,Puzzles,823.04,-174.07,228
2021-03-26,South,P00927,Furniture,Tables,462.43,84.7,15
2021-11-03,North,P00706,Groceries,Beverages,799.32,-143.93,47
2024-01-09,South,P00015,Furniture,Beds,414.87,131.72,95
2023-05-18,South,P00150,Furniture,Tables,602.46,91.82,282
2021-01-10,West,P00504,Toys,Puzzles,259.28,-6.08,11
2021-10-13,North,P00132,Groceries,Vegetables,959.48,-24.93,134
2022-09-12,South,P00345,Electronics,Phones,406.84,28.32,302
2020-05-04,East,P00093,Groceries,Fruits,618.8,265.76,104
2020-01-23,South,P00670,Toys,Action Figures,510.83,96.63,111
2023-11-08,South,P00296,Electronics,Accessories,728.83,127.09,356
2021-11-04,North,P00166,Clothing,Pants,919.56,305.36,293
2023-02-04,North,P00653,Clothing,Shirts,710.17,-126.39,92
2021-05-20,East,P00012,Electronics,Phones,380.69,-93.22,51
2023-07-06,South,P00328,Toys,Board Games,739.08,0,214
2021-12-26,South,P00969,Clothing,Shoes,911.58,-183.91,101
2023-10-13,South,P00132,Clothing,Shoes,984.99,365.55,182
2024-02-09,South,P00374,Toys,Puzzles,839.12,-28.77,55
2022-03-12,South,P00058,Furniture,Chairs,235.12,43.81,309
2023-07-25,South,P00360,Clothing,Shoes,341.85,117.01,117
2021-01-18,South,P00383,Furniture,Beds,607.68,-126.75,244
2021-12-25,South,P00766,Groceries,Fruits,542.02,236.26,210
2020-08-19,West,P00001,Groceries,Vegetables,486.03,211.31,128
2024-01-19,North,P00421,Toys,Action Figures,232.36,14.4,179
2023-08-16,South,P00995,Toys,Action Figures,255.74,41.46,180
2020-09-17,South,P00338,Electronics,Phones,424.74,183.44,177
2023-06-02,East,P00537,Furniture,Chairs,782.69,-61,154
2022-10-04,South,P00126,Clothing,Pants,22.96,5.3,337
2020-03-16,South,P00622,Furniture,Beds,961.46,-174.09,118
2022-12-27,North,P00791,Toys,Board Games,862.03,110.39,360
2020-07-16,South,P00809,Electronics,Laptops,507.17,89.42,141
2021-11-24,South,P00923,Clothing,Shoes,403.34,16.71,211
2022-05-07,East,P00632,Toys,Puzzles,355.89,26.54,305
2020-09-06,North,P00052,Electronics,Phones,46.18,3.59,19
2022-03-18,South,P00784,Groceries,Vegetables,75.05,24.05,175
2023-07-25,West,P00757,Groceries,Vegetables,532.37,67.91,113
2020-07-15,East,P00463,Groceries,Fruits,406.76,60.08,319
2020-07-28,South,P00212,Groceries,Vegetables,111.95,-3.64,55
2023-11-03,South,P00987,Toys,Board Games,946.65,-1.28,162
2021-08-10,South,P00077,Toys,Puzzles,414.65,-115.97,288
2021-01-23,West,P00345,Clothing,Shoes,718.81,163.27,321
2022-07-20,North,P00714,Toys,Puzzles,556.21,-53.89,255
2021-02-03,South,P00267,Groceries,Vegetables,29.51,0,239
2022-11-13,South,P00282,Toys,Board Games,573.75,235.22,92
2022-06-11,South,P00136,Clothing,Shirts,245.8,-54.19,96
2020-11-02,North,P00337,Clothing,Shirts,988.84,180.52,302
2024-02-02,South,P00517,Groceries,Vegetables,831.92,14.76,165
2021-07-04,East,P00885,Toys,Board Games,149.67,3.76,311
2022-11-25,North,P00051,Electronics,Phones,897.37,-259.88,263
2021-05-30,West,P00254,Furniture,Chairs,738.55,279.54,112
2022-02-08,North,P00237,Toys,Puzzles,189.62,31.56,188
2024-01-28,West,P00123,Clothing,Shoes,706.91,302.91,197
2022-02-20,North,P00366,Clothing,Pants,348.4,-32.21,195
2021-06-05,South,P00072,Toys,Action Figures,594.39,-50.85,261
2023-03-01,West,P00577,Furniture,Chairs,351.74,112.23,226
2022-06-14,West,P00561,Furniture,Tables,862.46,-107.28,342
2020-12-30,East,P00849,Toys,Puzzles,781.96,-163.12,158
2022-07-20,South,P00616,Electronics,Laptops,492.56,204.73,128
2020-05-28,West,P00580,Clothing,Shirts,190.29,16.71,209
2023-02-14,South,P00627,Electronics,Laptops,275.99,36.79,237
2023-09-28,North,P00856,Furniture,Beds,408.52,-51.3,278
2020-07-12,South,P00690,Groceries,Beverages,836.58,407.85,29
2022-10-09,East,P00027,Clothing,Shirts,179.96,-14.78,75
2022-06-02,South,P00809,Groceries,Fruits,824.36,102,42
2023-06-12,North,P00365,Furniture,Beds,580.75,-46.9,17
2023-05-10,West,P00184,Electronics,Accessories,411.2,40.29,76
2021-09-24,West,P00985,Furniture,Tables,214.36,-62.42,27
2023-03-25,North,P00601,Electronics,Accessories,901.02,359.61,168
2023-11-04,North,P00104,Electronics,Accessories,258.22,53.32,309
2022-01-22,East,P00738,Electronics,Accessories,183.62,79.24,190
2023-04-15,West,P00355,Groceries,Vegetables,523.73,-137.44,310
2022-01-14,South,P00134,Groceries,Beverages,740.65,-173.14,292
2023-06-25,South,P00381,Electronics,Laptops,773.28,-189.76,267
2020-09-07,North,P00735,Electronics,Phones,295.81,-4.57,113
2023-04-15,East,P00178,Electronics,Phones,724.32,136.41,310
2022-03-04,South,P00552,Toys,Puzzles,481.29,111.15,246
2022-03-22,South,P00425,Electronics,Accessories,143.65,12.5,250
2022-09-04,East,P00848,Furniture,Chairs,40.87,-3.69,227
2021-01-22,South,P00385,Clothing,Pants,843.11,317.96,201
2020-02-20,North,P00412,Toys,Board Games,773.2,-166.02,201
2023-07-06,South,P00509,Toys,Board Games,358.02,10.82,61
2020-04-20,West,P00150,Electronics,Accessories,691.52,0,39
2022-02-18,West,P00878,Groceries,Fruits,85.17,-20.25,108
2023-10-22,West,P00348,Clothing,Pants,697.75,-57.41,354
2022-03-18,North,P00317,Furniture,Tables,112.06,-5.42,305
2020-10-25,West,P00120,Groceries,Fruits,145.45,66.93,311
2022-12-10,West,P00756,Toys,Puzzles,526.09,-121.34,80
2023-04-12,East,P00999,Clothing,Shirts,874.22,249.83,149
2021-10-16,West,P00494,Groceries,Fruits,761.45,212.66,198
2021-04-01,South,P00717,Groceries,Vegetables,980.77,414.56,268
2023-11-20,East,P00317,Groceries,Vegetables,229,112.24,26
2023-07-09,North,P00142,Clothing,Shirts,49.03,12.97,199
2021-08-08,South,P00957,Groceries,Vegetables,999.36,144.55,86
2021-07-01,North,P00417,Electronics,Phones,916.33,-250.01,117
2022-10-03,South,P00450,Toys,Action Figures,733.71,-107.06,328
2023-05-04,South,P00402,Furniture,Beds,971.35,442.37,82
2023-04-11,South,P00471,Clothing,Pants,747.61,-191.46,103
2021-10-13,West,P00521,Groceries,Fruits,46.64,8.26,108
2022-02-28,East,P00732,Groceries,Vegetables,129.36,-30.84,293
2023-10-08,South,P00400,Groceries,Vegetables,534.96,28.26,364
2021-05-01,South,P00335,Groceries,Fruits,576.7,197.91,4
2020-04-04,East,P00748,Furniture,Beds,792.82,-35.68,210
2022-11-21,North,P00816,Groceries,Beverages,524.97,21.76,108
2022-01-16,North,P00838,Furniture,Chairs,240.63,-67.49,170
2023-10-20,West,P00013,Electronics,Accessories,990.44,-296.94,269
2021-11-05,North,P00829,Groceries,Fruits,533.65,240.81,227
2023-09-11,West,P00285,Electronics,Accessories,79.33,-23.2,29
2023-02-15,West,P00760,Toys,Board Games,769.52,16.58,245
2023-05-18,East,P00091,Groceries,Vegetables,484.98,79.83,236
2022-11-11,North,P00682,Toys,Action Figures,984.24,309.66,359
2020-07-15,East,P00015,Clothing,Pants,527.29,150.71,177
2023-05-17,South,P00207,Furniture,Tables,119.37,-1.95,158
2022-03-17,North,P00408,Furniture,Beds,854.29,232.75,293
2023-03-04,West,P00930,Toys,Puzzles,51.67,-14.76,73
2020-07-07,South,P00097,Toys,Action Figures,118.37,1.57,140
2020-09-14,West,P00780,Clothing,Shirts,956.85,323.79,198
2023-12-30,West,P00840,Furniture,Chairs,982.51,400.23,344
2022-12-21,South,P00365,Toys,Board Games,472.73,90.16,153
2023-08-10,West,P00016,Toys,Puzzles,745.92,-185,72
2020-08-04,North,P00250,Clothing,Shirts,943.3,207.26,243
2023-02-20,West,P00455,Furniture,Beds,517.56,-59.76,226
2021-02-13,West,P00843,Toys,Board Games,390.25,-105.61,259
2022-03-26,South,P00756,Toys,Puzzles,827.94,282.01,54
2024-01-09,South,P00503,Groceries,Fruits,969.41,394.58,99
2024-01-21,West,P00019,Clothing,Pants,601.3,72.17,178
2020-05-29,East,P00213,Furniture,Beds,496.27,246.68,3
2022-05-23,North,P00899,Groceries,Vegetables,817.67,-98.49,120
2022-08-30,North,P00751,Furniture,Chairs,750.39,-204.19,68
2023-09-06,North,P00526,Electronics,Laptops,584.29,-132.52,105
2022-01-20,North,P00247,Groceries,Vegetables,397.26,-32.43,29
2021-07-22,West,P00659,Clothing,Shoes,889.86,413.36,332
2021-03-15,East,P00660,Furniture,Beds,45.07,-1.66,25
2021-05-31,West,P00591,Furniture,Tables,555.35,-127.96,124
2021-02-05,North,P00629,Electronics,Phones,378.96,-34.94,176
2022-11-03,North,P00589,Toys,Action Figures,500.92,-117.8,316
2020-09-17,North,P00581,Toys,Action Figures,118.37,49.19,81
2020-02-23,North,P00564,Clothing,Pants,0,28.81,318
2020-09-11,South,P00472,Groceries,Beverages,596.48,214.58,0
